milliseconds since epoch,weight grams float
1691685072029,32.03000000000001
1691685072120,32.25000000000001
1691685072240,30.66000000000001
1691685072329,44.960000000000015
1691685072420,20.030000000000012
1691685072539,8.910000000000013
1691685072599,39.80000000000002
1691685072689,18.380000000000013
1691685072780,15.630000000000015
1691685072899,32.13000000000001
1691685072990,14.930000000000014
1691685073110,25.270000000000014
1691685073231,33.33000000000001
1691685073261,6.470000000000014
1691685073381,32.890000000000015
1691685073470,52.33000000000001
1691685073560,45.27000000000001
1691685073682,77.61000000000001
1691685073771,23.050000000000015
1691685073890,-13.779999999999985
1691685073982,-87.35999999999997
1691685074099,-123.60999999999999
1691685074191,-124.30999999999997
1691685074280,-123.88999999999999
1691685074401,-119.75999999999998
1691685074491,-121.31999999999998
1691685074610,-124.09999999999997
1691685074640,-123.99999999999999
1691685074759,-123.98999999999997
1691685074880,-123.97999999999998
1691685074971,-123.86999999999998
1691685075091,-123.85999999999999
1691685075181,-123.86999999999998
1691685075270,-123.85999999999999
1691685075390,-123.70999999999998
1691685075482,-123.67999999999998
1691685075591,-123.63999999999999
1691685075692,-123.61999999999998
1691685075752,-123.59999999999997
1691685075841,-123.57999999999998
1691685075960,-123.55999999999997
1691685076052,-123.53999999999998
1691685076142,-123.51999999999997
1691685076262,-123.49999999999999
1691685076380,-123.45999999999998
1691685076475,-123.45999999999998
1691685076561,-123.16999999999997
1691685076682,-123.17999999999998
1691685076711,-123.15999999999997
1691685076830,-123.13999999999997
1691685076920,-123.12999999999995
1691685077044,-122.98999999999995
1691685077131,-122.97999999999996
1691685077221,-122.95999999999997
1691685077342,-122.92999999999996
1691685077432,-122.92999999999996
1691685077552,-122.90999999999997
1691685077643,-122.89999999999998
1691685077766,-122.87999999999997
1691685077825,-122.87999999999997
1691685077916,-122.67999999999998
1691685078033,-122.65999999999997
1691685078153,-122.64999999999998
1691685078215,-122.63999999999999
1691685078334,-122.62999999999997
1691685078423,-122.62999999999997
1691685078543,-122.61999999999998
1691685078633,-122.61999999999998
1691685078754,-122.60999999999999
1691685078843,-122.45999999999998
1691685078936,-122.45999999999998
1691685079055,-122.44999999999997
1691685079143,-122.43999999999998
1691685079205,-122.41999999999997
1691685079295,-122.41999999999997
1691685079415,-122.40999999999997
1691685079505,-122.39999999999998
1691685079624,-122.38999999999999
1691685079713,-122.37999999999997
1691685079805,-122.35999999999999
1691685079925,-122.35999999999999
1691685080013,-122.34999999999998
1691685080103,-122.34999999999998
1691685080225,-122.32999999999998
1691685080314,-122.17999999999998
1691685080434,-122.15999999999997
1691685080524,-122.15999999999997
1691685080583,-122.14999999999998
1691685080733,-122.13999999999999
1691685080763,-122.12999999999997
1691685080883,-122.12999999999997
1691685080976,-122.10999999999999
1691685081093,-122.09999999999998
1691685081182,-122.08999999999997
1691685081276,-122.07999999999998
1691685081394,-122.07999999999998
